Date,price,short_ma,long_ma,position,signal,executed_position,market_return,strategy_return_gross,trade_occurred,transaction_cost,strategy_return_net,strategy_equity,buy_hold_equity
2019-01-29,235.6412811279297,232.64284454345704,242.8758164215088,0,0.0,0.0,-0.0013268660630303408,-0.0,0.0,0.0,-0.0,1.1233887477081888,1.2787044890158275
2019-01-30,239.37168884277344,232.62403594970704,242.90413177490234,0,0.0,0.0,0.015830875205683936,0.0,0.0,0.0,0.0,1.1233887477081888,1.2989475002063848
2019-01-31,241.473876953125,232.59711029052735,242.93335075378417,0,0.0,0.0,0.008782108362582308,0.0,0.0,0.0,0.0,1.1233887477081888,1.3103549979105027
2019-02-01,241.59017944335938,232.55987915039063,242.950546875,0,0.0,0.0,0.00048163590903427256,0.0,0.0,0.0,0.0,1.1233887477081888,1.3109861119310788
2019-02-04,243.28982543945312,232.63900024414062,242.97535987854005,0,0.0,0.0,0.007035244561719667,0.0,0.0,0.0,0.0,1.1233887477081888,1.320209219845532
2019-02-05,244.30975341796875,232.82710205078126,243.01188323974608,0,0.0,0.0,0.004192234412899731,0.0,0.0,0.0,0.0,1.1233887477081888,1.325743846369196
2019-02-06,243.98768615722656,232.9927542114258,243.0568447113037,0,0.0,0.0,-0.0013182742655025725,-0.0,0.0,0.0,-0.0,1.1233887477081888,1.323996152373879
2019-02-07,241.6617431640625,233.14337127685548,243.0903524017334,0,0.0,0.0,-0.009533034350205805,-0.0,0.0,0.0,-0.0,1.1233887477081888,1.3113744515737584
2019-02-08,241.95701599121094,233.22429626464844,243.14115798950195,0,0.0,0.0,0.0012218434878539242,0.0,0.0,0.0,0.0,1.1233887477081888,1.3129767459075519
2019-02-11,242.09115600585938,233.29189544677735,243.1897696685791,0,0.0,0.0,0.0005543960529472702,0.0,0.0,0.0,0.0,1.1233887477081888,1.3137046550330946
2019-02-12,245.2042999267578,233.31182861328125,243.24213623046876,0,0.0,0.0,0.012859387233555397,0.0,0.0,0.0,0.0,1.1233887477081888,1.3305980919026894
2019-02-13,246.00042724609375,233.35835754394532,243.29738166809082,0,0.0,0.0,0.0032467918367407034,0.0,0.0,0.0,0.0,1.1233887477081888,1.3349182669254618
2019-02-14,245.45480346679688,233.36426879882814,243.35893325805665,0,0.0,0.0,-0.0022179789905447667,-0.0,0.0,0.0,-0.0,1.1233887477081888,1.3319574462553267
2019-02-15,248.12957763671875,233.35875061035156,243.431787109375,0,0.0,0.0,0.010897216644952357,0.0,0.0,0.0,0.0,1.1233887477081888,1.3464720751090284
2019-02-19,248.5590362548828,233.5227993774414,243.51463340759278,0,0.0,0.0,0.0017307836584996572,0.0,0.0,0.0,0.0,1.1233887477081888,1.3488025269732533
2019-02-20,249.05990600585938,233.70415893554687,243.60254013061524,0,0.0,0.0,0.0020150937118332823,0.0,0.0,0.0,0.0,1.1233887477081888,1.351520490463862
2019-02-21,248.17428588867188,233.9793344116211,243.67103446960448,0,0.0,0.0,-0.0035558518084667368,-0.0,0.0,0.0,-0.0,1.1233887477081888,1.3467146838836663
2019-02-22,249.7129364013672,234.27638977050782,243.74325569152833,0,0.0,0.0,0.006199878876192333,0.0,0.0,0.0,0.0,1.1233887477081888,1.3550641518045348
2019-02-25,250.05294799804688,234.57917755126954,243.81717697143554,0,0.0,0.0,0.0013616098612254657,0.0,0.0,0.0,0.0,1.1233887477081888,1.356909220516225
2019-02-26,249.87399291992188,234.85472900390624,243.87883346557618,0,0.0,0.0,-0.0007156687395919459,-0.0,0.0,0.0,-0.0,1.1233887477081888,1.3559381230046375
2019-02-27,249.7666778564453,235.12973571777343,243.92884719848632,0,0.0,0.0,-0.00042947672233717427,-0.0,0.0,0.0,-0.0,1.1233887477081888,1.3553557791438775
2019-02-28,249.30142211914062,235.4825961303711,243.9728768157959,0,0.0,0.0,-0.0018627614431901973,-0.0,0.0,0.0,-0.0,1.1233887477081888,1.3528310746566832
2019-03-01,250.85804748535156,235.95748443603514,244.02411666870117,0,0.0,0.0,0.006243949003496008,0.0,0.0,0.0,0.0,1.1233887477081888,1.3612780828971842
2019-03-04,249.94557189941406,236.41910430908203,244.0790795135498,0,0.0,0.0,-0.003637418034160511,-0.0,0.0,0.0,-0.0,1.1233887477081888,1.3563265454489466
2019-03-05,249.6056365966797,236.9418746948242,244.12731895446777,0,0.0,0.0,-0.0013600373079271089,-0.0,0.0,0.0,-0.0,1.1233887477081888,1.3544818907454041
2019-03-06,248.09378051757812,237.5071594238281,244.1690121459961,0,0.0,0.0,-0.006056978919688705,-0.0,0.0,0.0,-0.0,1.1233887477081888,1.3462778224860592
2019-03-07,246.01834106445312,238.12101928710936,244.2033255004883,0,0.0,0.0,-0.008365544064809605,-0.0,0.0,0.0,-0.0,1.1233887477081888,1.3350154760385762
2019-03-08,245.52639770507812,238.83883056640624,244.22618812561035,0,0.0,0.0,-0.0019996206674937067,-0.0,0.0,0.0,-0.0,1.1233887477081888,1.3323459515012654
2019-03-11,249.08676147460938,239.41601318359375,244.27020210266113,0,0.0,0.0,0.014500940847134158,0.0,0.0,0.0,0.0,1.1233887477081888,1.351666221331904
2019-03-12,250.02610778808594,239.97816833496094,244.31560760498047,0,0.0,0.0,0.003771161132432699,0.0,0.0,0.0,0.0,1.1233887477081888,1.356763572449813
2019-03-13,251.68104553222656,240.57914642333984,244.37175598144532,0,0.0,0.0,0.006619059740526456,0.0,0.0,0.0,0.0,1.1233887477081888,1.3657440715896285
2019-03-14,251.52005004882812,241.13808044433594,244.42996376037598,0,0.0,0.0,-0.0006396806047034298,-0.0,0.0,0.0,-0.0,1.1233887477081888,1.364870431596044
2019-03-15,252.76266479492188,241.71721496582032,244.50817893981935,0,0.0,0.0,0.0049404202402651975,0.0,0.0,0.0,0.0,1.1233887477081888,1.3716134651016407
2019-03-18,253.6791534423828,242.42149200439454,244.57515487670898,0,0.0,0.0,0.003625886157690772,0.0,0.0,0.0,0.0,1.1233887477081888,1.376586779378455
2019-03-19,253.74205017089844,242.9806723022461,244.6498053741455,0,0.0,0.0,0.00024793810473644484,0.0,0.0,0.0,0.0,1.1233887477081888,1.3769280876955392
2019-03-20,252.9783172607422,243.488974609375,244.70891418457032,0,0.0,0.0,-0.0030098791652461987,-0.0,0.0,0.0,-0.0,1.1233887477081888,1.372783700532342
2019-03-21,255.83567810058594,244.01166381835938,244.7765803527832,0,0.0,0.0,0.011294884363147517,0.0,0.0,0.0,0.0,1.1233887477081888,1.3882891336854686
2019-03-22,250.9117431640625,244.41440399169923,244.81874549865722,0,0.0,0.0,-0.019246474819620385,-0.0,0.0,0.0,-0.0,1.1233887477081888,1.3615694618316385
2019-03-25,250.72305297851562,244.7970883178711,244.84983123779296,0,0.0,0.0,-0.0007520181525481062,-0.0,0.0,0.0,-0.0,1.1233887477081888,1.360545536880386
2019-03-26,252.59201049804688,245.21536315917967,244.8903936767578,1,1.0,0.0,0.007454270747458525,0.0,0.0,0.0,0.0,1.1233887477081888,1.3706874116765388
2019-03-27,251.2711944580078,245.63549072265624,244.9207381439209,1,0.0,1.0,-0.005229049158897547,-0.005229049158897547,1.0,0.001,-0.006229049158897547,1.116391103974162,1.3635200198194002
2019-03-28,252.22354125976562,246.021884765625,244.95421394348145,1,0.0,1.0,0.003790115312708453,0.003790115312708453,0.0,0.0,0.003790115312708453,1.120622354992306,1.3686879179257023
